Name,Stmts,Miss,Cover
Lib\test\leakers\test_ctypes.py,10,6,40%
Lib\test\leakers\test_selftype.py,9,7,22%
Lib\test\libregrtest\__init__.py,2,0,100%
Lib\test\libregrtest\cmdline.py,183,165,10%
Lib\test\libregrtest\main.py,496,483,3%
Lib\test\libregrtest\runtest.py,248,230,7%
Lib\test\libregrtest\save_env.py,217,144,34%
Lib\test\libregrtest\utils.py,136,119,12%
Lib\test\list_tests.py,443,410,7%
Lib\test\lock_tests.py,784,684,13%
Lib\test\mapping_tests.py,514,465,10%
Lib\test\mock_socket.py,105,60,43%
Lib\test\multibytecodec_support.py,274,268,2%
Lib\test\pickletester.py,2179,2162,1%
Lib\test\seq_tests.py,342,284,17%
Lib\test\string_tests.py,1071,988,8%
Lib\test\support\__init__.py,1132,762,33%
Lib\test\support\bytecode_helper.py,31,23,26%
Lib\test\support\hashlib_helper.py,31,10,68%
Lib\test\support\import_helper.py,107,45,58%
Lib\test\support\interpreters.py,88,52,41%
Lib\test\support\logging_helper.py,17,11,35%
Lib\test\support\os_helper.py,339,216,36%
Lib\test\support\script_helper.py,154,117,24%
Lib\test\support\socket_helper.py,120,91,24%
Lib\test\support\testresult.py,141,113,20%
Lib\test\support\threading_helper.py,126,92,27%
Lib\test\support\warnings_helper.py,104,60,42%
Lib\test\test___all__.py,96,76,21%
Lib\test\test___future__.py,39,31,21%
Lib\test\test__locale.py,125,95,24%
Lib\test\test__opcode.py,71,59,17%
Lib\test\test__osx_support.py,133,105,21%
Lib\test\test__xxsubinterpreters.py,1394,1174,16%
Lib\test\test_abc.py,557,509,9%
Lib\test\test_abstract_numbers.py,33,24,27%
Lib\test\test_aifc.py,321,311,3%
Lib\test\test_argparse.py,2269,1127,50%
Lib\test\test_array.py,1104,873,21%
Lib\test\test_asdl_parser.py,92,83,10%
Lib\test\test_ast.py,1342,1213,10%
Lib\test\test_asyncgen.py,1243,1151,7%
Lib\test\test_asynchat.py,200,185,8%
Lib\test\test_asyncio\__init__.py,8,1,88%
Lib\test\test_asyncio\functional.py,182,138,24%
Lib\test\test_asyncio\test_base_events.py,1344,1331,1%
Lib\test\test_asyncio\test_buffered_proto.py,51,33,35%
Lib\test\test_asyncio\test_context.py,25,17,32%
Lib\test\test_asyncio\test_events.py,1910,1883,1%
Lib\test\test_asyncio\test_futures2.py,11,5,55%
Lib\test\test_asyncio\test_futures.py,668,657,2%
Lib\test\test_asyncio\test_locks.py,1049,966,8%
Lib\test\test_asyncio\test_pep492.py,131,125,5%
Lib\test\test_asyncio\test_proactor_events.py,784,770,2%
Lib\test\test_asyncio\test_protocols.py,53,42,21%
Lib\test\test_asyncio\test_queues.py,349,294,16%
Lib\test\test_asyncio\test_runners.py,242,233,4%
Lib\test\test_asyncio\test_selector_events.py,963,950,1%
Lib\test\test_asyncio\test_sendfile.py,390,377,3%
Lib\test\test_asyncio\test_server.py,92,86,7%
Lib\test\test_asyncio\test_sock_lowlevel.py,394,386,2%
Lib\test\test_asyncio\test_ssl.py,1090,1074,1%
Lib\test\test_asyncio\test_sslproto.py,485,472,3%
Lib\test\test_asyncio\test_streams.py,742,728,2%
Lib\test\test_asyncio\test_subprocess.py,406,396,2%
Lib\test\test_asyncio\test_taskgroups.py,506,503,1%
Lib\test\test_asyncio\test_tasks.py,2266,2247,1%
Lib\test\test_asyncio\test_threads.py,40,27,32%
Lib\test\test_asyncio\test_timeouts.py,176,149,15%
Lib\test\test_asyncio\test_transports.py,67,53,21%
Lib\test\test_asyncio\test_unix_events.py,1264,1247,1%
Lib\test\test_asyncio\test_waitfor.py,196,169,14%
Lib\test\test_asyncio\test_windows_events.py,172,158,8%
Lib\test\test_asyncio\test_windows_utils.py,87,71,18%
Lib\test\test_asyncio\utils.py,375,357,5%
Lib\test\test_asyncore.py,573,552,4%
Lib\test\test_atexit.py,46,28,39%
Lib\test\test_audioop.py,364,319,12%
Lib\test\test_audit.py,115,85,26%
Lib\test\test_augassign.py,232,222,4%
Lib\test\test_base64.py,438,383,13%
Lib\test\test_baseexception.py,126,104,17%
Lib\test\test_bdb.py,569,465,18%
Lib\test\test_bigaddrspace.py,54,33,39%
Lib\test\test_bigmem.py,942,716,24%
Lib\test\test_binascii.py,321,280,13%
Lib\test\test_binop.py,325,243,25%
Lib\test\test_bisect.py,216,211,2%
Lib\test\test_bool.py,305,272,11%
Lib\test\test_buffer.py,2884,2671,7%
Lib\test\test_bufio.py,42,26,38%
Lib\test\test_builtin.py,1666,1478,11%
Lib\test\test_bytes.py,1497,1302,13%
Lib\test\test_bz2.py,761,612,20%
Lib\test\test_c_locale_coercion.py,175,121,31%
Lib\test\test_calendar.py,404,292,28%
Lib\test\test_call.py,387,260,33%
Lib\test\test_capi.py,638,492,23%
Lib\test\test_cgi.py,287,278,3%
Lib\test\test_cgitb.py,49,43,12%
Lib\test\test_charmapcodec.py,33,22,33%
Lib\test\test_check_c_globals.py,14,5,64%
Lib\test\test_class.py,412,377,8%
Lib\test\test_clinic.py,319,213,33%
Lib\test\test_cmath.py,374,320,14%
Lib\test\test_cmd.py,79,53,33%
Lib\test\test_cmd_line.py,510,421,17%
Lib\test\test_cmd_line_script.py,427,349,18%
Lib\test\test_code.py,327,314,4%
Lib\test\test_code_module.py,100,80,20%
Lib\test\test_codeccallbacks.py,444,385,13%
Lib\test\test_codecencodings_cn.py,21,20,5%
Lib\test\test_codecencodings_hk.py,8,7,12%
Lib\test\test_codecencodings_iso2022.py,20,19,5%
Lib\test\test_codecencodings_jp.py,38,37,3%
Lib\test\test_codecencodings_kr.py,16,15,6%
Lib\test\test_codecencodings_tw.py,8,7,12%
Lib\test\test_codecmaps_cn.py,13,12,8%
Lib\test\test_codecmaps_hk.py,7,6,14%
Lib\test\test_codecmaps_jp.py,28,27,4%
Lib\test\test_codecmaps_kr.py,17,16,6%
Lib\test\test_codecmaps_tw.py,12,11,8%
Lib\test\test_codecs.py,1666,1335,20%
Lib\test\test_codeop.py,240,221,8%
Lib\test\test_collections.py,1791,1634,9%
Lib\test\test_colorsys.py,48,36,25%
Lib\test\test_compare.py,89,68,24%
Lib\test\test_compile.py,856,773,10%
Lib\test\test_compileall.py,749,736,2%
